,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
255,sequence_53082,55.0,sequence_19347,58.9,3826.281650402908,0-1-1-1-34
253,sequence_53082,55.0,sequence_53099,53.0,4072.762140890328,0-1-1-1-34
256,sequence_53082,55.0,sequence_19379,50.3,4894.61593597706,0-1-1-1-34
259,sequence_53082,55.0,sequence_19401,47.4,5227.671747621556,0-1-1-1-34
254,sequence_53082,55.0,sequence_53056,52.0,4029.454450302409,0-1-1-1-34
515,sequence_19402,43.0,sequence_19347,58.9,9120.729454542896,0-1-1-1-34
513,sequence_19402,43.0,sequence_53099,53.0,9170.24888178357,0-1-1-1-34
516,sequence_19402,43.0,sequence_19379,50.3,8972.119280674891,0-1-1-1-34
519,sequence_19402,43.0,sequence_19401,47.4,8853.254486149272,0-1-1-1-34
514,sequence_19402,43.0,sequence_53056,52.0,8992.940461414299,0-1-1-1-34
775,sequence_20054,49.0,sequence_19347,58.9,9958.882466707812,0-1-1-1-34
773,sequence_20054,49.0,sequence_53099,53.0,9825.515122825644,0-1-1-1-34
776,sequence_20054,49.0,sequence_19379,50.3,9865.22824900261,0-1-1-1-34
779,sequence_20054,49.0,sequence_19401,47.4,9740.00363109593,0-1-1-1-34
774,sequence_20054,49.0,sequence_53056,52.0,9664.1556806805,0-1-1-1-34
95,sequence_53082,55.0,sequence_19511,62.4,6978.985316958233,0-1-1-1-29
228,sequence_53082,55.0,sequence_19351,60.9,7489.225501625029,0-1-1-1-29
208,sequence_53082,55.0,sequence_19459,59.2,7081.134200000143,0-1-1-1-29
221,sequence_53082,55.0,sequence_19461,61.2,6565.209498477283,0-1-1-1-29
167,sequence_53082,55.0,sequence_53076,46.3,6894.018631100279,0-1-1-1-29
213,sequence_53082,55.0,sequence_19463,62.7,7006.213917462647,0-1-1-1-29
143,sequence_53082,55.0,sequence_53061,50.6,6672.2205464338585,0-1-1-1-29
176,sequence_53082,55.0,sequence_19484,52.0,7847.12071991296,0-1-1-1-29
216,sequence_53082,55.0,sequence_19350,60.1,7445.281150050037,0-1-1-1-29
141,sequence_53082,55.0,sequence_19512,54.4,7158.9574729787455,0-1-1-1-29
355,sequence_19402,43.0,sequence_19511,62.4,8780.165255839565,0-1-1-1-29
488,sequence_19402,43.0,sequence_19351,60.9,8495.158520816301,0-1-1-1-29
468,sequence_19402,43.0,sequence_19459,59.2,8727.483038907927,0-1-1-1-29
481,sequence_19402,43.0,sequence_19461,61.2,8833.274013000362,0-1-1-1-29
427,sequence_19402,43.0,sequence_53076,46.3,9397.99331679765,0-1-1-1-29
473,sequence_19402,43.0,sequence_19463,62.7,8623.734646318371,0-1-1-1-29
403,sequence_19402,43.0,sequence_53061,50.6,8700.973308635144,0-1-1-1-29
436,sequence_19402,43.0,sequence_19484,52.0,8903.05298486374,0-1-1-1-29
476,sequence_19402,43.0,sequence_19350,60.1,8397.487911621603,0-1-1-1-29
401,sequence_19402,43.0,sequence_19512,54.4,8941.688328211143,0-1-1-1-29
615,sequence_20054,49.0,sequence_19511,62.4,8871.625807155944,0-1-1-1-29
748,sequence_20054,49.0,sequence_19351,60.9,9032.009857870857,0-1-1-1-29
728,sequence_20054,49.0,sequence_19459,59.2,8742.412263718565,0-1-1-1-29
741,sequence_20054,49.0,sequence_19461,61.2,8966.943469725715,0-1-1-1-29
687,sequence_20054,49.0,sequence_53076,46.3,8917.121778074736,0-1-1-1-29
733,sequence_20054,49.0,sequence_19463,62.7,9021.050381833604,0-1-1-1-29
663,sequence_20054,49.0,sequence_53061,50.6,8504.423480879117,0-1-1-1-29
696,sequence_20054,49.0,sequence_19484,52.0,9118.793521669795,0-1-1-1-29
736,sequence_20054,49.0,sequence_19350,60.1,8615.334254475274,0-1-1-1-29
661,sequence_20054,49.0,sequence_19512,54.4,9342.148824682788,0-1-1-1-29
112,sequence_53082,55.0,sequence_19445,45.5,8227.420200009205,0-1-1-1-14
125,sequence_53082,55.0,sequence_19429,50.9,7982.957014834054,0-1-1-1-14
41,sequence_53082,55.0,sequence_19504,50.6,7689.858707916786,0-1-1-1-14
372,sequence_19402,43.0,sequence_19445,45.5,9277.872741181322,0-1-1-1-14
385,sequence_19402,43.0,sequence_19429,50.9,9196.876197202571,0-1-1-1-14
301,sequence_19402,43.0,sequence_19504,50.6,9048.964067259338,0-1-1-1-14
632,sequence_20054,49.0,sequence_19445,45.5,9279.17016770442,0-1-1-1-14
645,sequence_20054,49.0,sequence_19429,50.9,9139.013610665925,0-1-1-1-14
561,sequence_20054,49.0,sequence_19504,50.6,9286.066902351164,0-1-1-1-14
96,sequence_53082,55.0,sequence_53065,44.8,8766.73093216307,1-0-0-0-23
78,sequence_53082,55.0,sequence_20051,42.5,9969.24780335902,1-0-0-0-23
180,sequence_53082,55.0,sequence_53067,40.9,9356.18312649854,1-0-0-0-23
29,sequence_53082,55.0,sequence_53059,47.1,9025.727230810187,1-0-0-0-23
33,sequence_53082,55.0,sequence_53064,48.4,9045.199867768728,1-0-0-0-23
18,sequence_53082,55.0,sequence_53066,39.2,9405.588883991384,1-0-0-0-23
356,sequence_19402,43.0,sequence_53065,44.8,5885.654436260866,1-0-0-0-23
338,sequence_19402,43.0,sequence_20051,42.5,5829.723340782534,1-0-0-0-23
440,sequence_19402,43.0,sequence_53067,40.9,5784.937531852543,1-0-0-0-23
289,sequence_19402,43.0,sequence_53059,47.1,6902.330692620689,1-0-0-0-23
293,sequence_19402,43.0,sequence_53064,48.4,6141.714864012189,1-0-0-0-23
278,sequence_19402,43.0,sequence_53066,39.2,6412.546230422128,1-0-0-0-23
616,sequence_20054,49.0,sequence_53065,44.8,8095.7357601938975,1-0-0-0-23
598,sequence_20054,49.0,sequence_20051,42.5,6294.707895480176,1-0-0-0-23
700,sequence_20054,49.0,sequence_53067,40.9,7042.616258992944,1-0-0-0-23
549,sequence_20054,49.0,sequence_53059,47.1,6225.298168353703,1-0-0-0-23
553,sequence_20054,49.0,sequence_53064,48.4,7157.273135280229,1-0-0-0-23
538,sequence_20054,49.0,sequence_53066,39.2,6604.388989642818,1-0-0-0-23
153,sequence_53082,55.0,sequence_19426,56.3,9240.061209183856,1-0-0-0-31
131,sequence_53082,55.0,sequence_19467,64.4,8646.07120998339,1-0-0-0-31
220,sequence_53082,55.0,sequence_19353,64.3,9084.988111079869,1-0-0-0-31
101,sequence_53082,55.0,sequence_19438,56.1,9509.104085509072,1-0-0-0-31
210,sequence_53082,55.0,sequence_19465,62.9,8862.953769672853,1-0-0-0-31
177,sequence_53082,55.0,sequence_53073,53.8,8345.753921582767,1-0-0-0-31
239,sequence_53082,55.0,sequence_19513,61.0,8793.837391856716,1-0-0-0-31
139,sequence_53082,55.0,sequence_19423,61.2,9336.638314126752,1-0-0-0-31
413,sequence_19402,43.0,sequence_19426,56.3,7041.852087633591,1-0-0-0-31
391,sequence_19402,43.0,sequence_19467,64.4,7265.935045246191,1-0-0-0-31
480,sequence_19402,43.0,sequence_19353,64.3,6784.962493194401,1-0-0-0-31
361,sequence_19402,43.0,sequence_19438,56.1,7281.37348212601,1-0-0-0-31
470,sequence_19402,43.0,sequence_19465,62.9,7076.952410004793,1-0-0-0-31
437,sequence_19402,43.0,sequence_53073,53.8,7631.705208241583,1-0-0-0-31
499,sequence_19402,43.0,sequence_19513,61.0,6946.276320436662,1-0-0-0-31
399,sequence_19402,43.0,sequence_19423,61.2,7471.273398521293,1-0-0-0-31
673,sequence_20054,49.0,sequence_19426,56.3,5554.055582159936,1-0-0-0-31
651,sequence_20054,49.0,sequence_19467,64.4,6471.600362662349,1-0-0-0-31
740,sequence_20054,49.0,sequence_19353,64.3,6033.466736209969,1-0-0-0-31
621,sequence_20054,49.0,sequence_19438,56.1,5545.351364933376,1-0-0-0-31
