id,label,target,labels,profile
sequence_40803,0,549,0-0-0-1,0-0-0-0-1
sequence_40825,1,532,0-0-0-1,1-0-0-0-1
sequence_40814,2,510,0-1-1-0,2-0-1-1-0
sequence_40816,0,531,0-0-0-1,0-0-0-0-1
sequence_40832,2,555,0-0-0-1,2-0-0-0-1
sequence_40861,2,464,1-3-3-2,2-1-3-3-2
sequence_40826,2,539,0-0-0-1,2-0-0-0-1
sequence_40841,1,528,0-0-0-1,1-0-0-0-1
sequence_40798,1,579,0-0-0-10,1-0-0-0-10
sequence_40802,1,560,0-7-7-8,1-0-7-7-8
sequence_40821,0,549,0-2-2-9,0-0-2-2-9
sequence_40824,1,523,0-0-0-1,1-0-0-0-1
sequence_40854,2,465,1-3-3-2,2-1-3-3-2
sequence_40797,0,558,0-0-0-10,0-0-0-0-10
sequence_40807,0,528,0-0-0-1,0-0-0-0-1
sequence_40829,2,528,0-0-0-1,2-0-0-0-1
sequence_40843,0,495,1-4-4-3,0-1-4-4-3
sequence_40842,1,522,0-0-0-1,1-0-0-0-1
sequence_40811,1,534,0-0-0-1,1-0-0-0-1
sequence_40823,1,546,0-0-0-1,1-0-0-0-1
sequence_40844,0,519,1-4-4-3,0-1-4-4-3
sequence_40867,0,622,0-0-0-10,0-0-0-0-10
sequence_40864,1,549,0-0-0-1,1-0-0-0-1
sequence_40853,2,463,1-3-3-2,2-1-3-3-2
sequence_40806,1,525,0-0-0-1,1-0-0-0-1
sequence_40850,2,462,1-3-3-2,2-1-3-3-2
sequence_40846,1,483,1-1-1-4,1-1-1-1-4
sequence_40835,0,535,0-0-0-7,0-0-0-0-7
sequence_40805,1,564,0-0-0-1,1-0-0-0-1
sequence_40792,0,517,0-5-5-6,0-0-5-5-6
sequence_40827,0,525,0-0-0-1,0-0-0-0-1
sequence_40851,1,477,1-1-1-4,1-1-1-1-4
sequence_40839,2,538,0-0-0-1,2-0-0-0-1
sequence_40857,2,522,0-0-0-1,2-0-0-0-1
sequence_40858,0,495,1-4-4-3,0-1-4-4-3
sequence_40812,2,464,1-3-3-2,2-1-3-3-2
sequence_40866,1,620,0-0-0-10,1-0-0-0-10
sequence_40804,0,561,0-0-0-10,0-0-0-0-10
sequence_40799,0,597,0-0-0-10,0-0-0-0-10
sequence_40818,0,522,0-0-0-1,0-0-0-0-1
sequence_40860,0,535,0-7-7-8,0-0-7-7-8
sequence_40845,0,495,0-1-1-0,0-0-1-1-0
sequence_40840,0,528,0-0-0-1,0-0-0-0-1
sequence_40859,0,543,0-0-0-1,0-0-0-0-1
sequence_40852,2,474,1-3-3-2,2-1-3-3-2
sequence_40837,0,543,0-0-0-7,0-0-0-0-7
sequence_40856,2,498,1-4-4-3,2-1-4-4-3
sequence_40815,1,498,1-3-3-2,1-1-3-3-2
sequence_40794,2,519,0-0-0-1,2-0-0-0-1
sequence_40819,1,532,0-0-0-1,1-0-0-0-1
sequence_40833,0,549,0-0-0-1,0-0-0-0-1
sequence_40831,2,525,0-0-0-1,2-0-0-0-1
sequence_40808,0,543,0-0-0-1,0-0-0-0-1
sequence_40822,1,549,0-0-0-1,1-0-0-0-1
sequence_40848,2,461,1-3-3-2,2-1-3-3-2
sequence_40820,1,543,0-2-2-9,1-0-2-2-9
sequence_40789,1,510,0-0-0-1,1-0-0-0-1
sequence_40791,2,454,1-6-6-5,2-1-6-6-5
sequence_40862,1,546,0-7-7-8,1-0-7-7-8
sequence_40813,0,528,0-0-0-1,0-0-0-0-1
sequence_40793,2,456,1-6-6-5,2-1-6-6-5
sequence_40834,0,546,0-0-0-1,0-0-0-0-1
sequence_40810,1,549,0-0-0-1,1-0-0-0-1
sequence_40838,1,531,0-0-0-1,1-0-0-0-1
sequence_40830,1,558,0-0-0-1,1-0-0-0-1
sequence_40795,0,562,0-2-2-9,0-0-2-2-9
sequence_40788,0,510,0-0-0-10,0-0-0-0-10
sequence_40849,2,464,1-3-3-2,2-1-3-3-2
sequence_40836,1,543,0-0-0-1,1-0-0-0-1
sequence_40809,1,528,0-0-0-1,1-0-0-0-1
sequence_40817,2,528,0-0-0-1,2-0-0-0-1
sequence_40796,0,567,0-2-2-9,0-0-2-2-9
sequence_40800,0,558,0-0-0-10,0-0-0-0-10
sequence_40790,1,523,0-5-5-6,1-0-5-5-6
sequence_40855,0,522,0-0-0-1,0-0-0-0-1
sequence_40865,1,580,0-0-0-1,1-0-0-0-1
sequence_40828,1,519,0-0-0-1,1-0-0-0-1
sequence_40787,0,510,0-5-5-6,0-0-5-5-6
sequence_40847,2,486,1-3-3-2,2-1-3-3-2
sequence_40863,0,566,0-2-2-9,0-0-2-2-9
sequence_40801,0,561,0-0-0-10,0-0-0-0-10
