id,label
sequence_47777,0
sequence_47708,2
sequence_47743,2
sequence_47674,2
sequence_47741,0
sequence_47724,1
sequence_47683,2
sequence_47745,0
sequence_47727,2
sequence_47779,0
sequence_47739,1
sequence_47732,2
sequence_47666,0
sequence_47661,2
sequence_47738,0
sequence_47714,2
sequence_47729,1
sequence_47752,2
sequence_47702,0
sequence_47798,2
sequence_47788,1
sequence_47806,1
sequence_47769,1
sequence_47785,1
sequence_47676,1
sequence_47810,0
sequence_47719,1
sequence_47737,2
sequence_47805,1
sequence_47786,0
sequence_47688,2
sequence_47723,2
sequence_47796,2
sequence_47783,1
sequence_47663,0
sequence_47725,2
sequence_47764,1
sequence_47662,0
sequence_47740,2
sequence_47694,2
sequence_47731,2
sequence_47734,1
sequence_47791,0
sequence_47801,1
sequence_47768,0
sequence_47755,2
sequence_47697,2
sequence_47733,2
sequence_47735,1
sequence_47811,0
sequence_47797,2
sequence_47770,1
sequence_47689,2
sequence_47765,0
sequence_47760,0
sequence_47790,1
sequence_47808,0
sequence_47670,2
sequence_47716,1
sequence_47677,2
sequence_47690,2
sequence_47700,0
sequence_47664,2
sequence_47668,0
sequence_47762,0
sequence_47704,2
sequence_47713,0
sequence_47773,1
sequence_47722,2
sequence_47799,1
sequence_47758,2
sequence_47761,0
sequence_47665,1
sequence_47749,2
sequence_47728,1
sequence_47804,1
sequence_47693,2
sequence_47778,1
sequence_47671,2
sequence_47699,2
sequence_47679,0
sequence_47730,1
sequence_47691,2
sequence_47794,1
sequence_47774,1
sequence_47687,2
sequence_47775,1
sequence_47803,1
sequence_47789,1
sequence_47795,1
sequence_47720,2
sequence_47709,2
sequence_47742,0
sequence_47751,2
sequence_47754,2
sequence_47772,1
sequence_47726,2
sequence_47748,2
sequence_47707,2
sequence_47812,0
sequence_47782,1
sequence_47747,2
sequence_47692,2
sequence_47681,2
sequence_47767,0
sequence_47718,2
sequence_47809,0
sequence_47763,0
sequence_47780,1
sequence_47807,1
sequence_47756,2
sequence_47744,2
sequence_47721,2
sequence_47771,0
sequence_47750,2
sequence_47787,1
sequence_47793,1
sequence_47746,2
sequence_47757,2
sequence_47802,1
sequence_47667,0
sequence_47675,0
sequence_47736,2
sequence_47684,2
sequence_47669,1
sequence_47672,0
sequence_47759,2
sequence_47712,2
sequence_47703,2
sequence_47753,2
sequence_47678,2
sequence_47680,2
sequence_47698,2
sequence_47711,0
sequence_47784,1
sequence_47685,2
sequence_47710,2
sequence_47673,2
sequence_47717,2
sequence_47715,1
sequence_47792,1
sequence_47696,2
sequence_47706,0
sequence_47766,0
sequence_47705,0
sequence_47701,0
sequence_47682,0
sequence_47800,1
sequence_47781,0
sequence_47695,2
sequence_47776,1
sequence_47686,2
