id,label,target,labels,profile
sequence_19347,1,58.9,0-0-0-27,1-0-0-0-27
sequence_19511,2,62.4,0-0-0-21,2-0-0-0-21
sequence_19445,2,45.5,2-1-1-2,2-2-1-1-2
sequence_19351,2,60.9,0-0-0-7,2-0-0-0-7
sequence_53065,0,44.8,1-2-2-1,0-1-2-2-1
sequence_19426,0,56.3,0-0-0-7,0-0-0-0-7
sequence_19517,1,61.6,0-0-0-23,1-0-0-0-23
sequence_19410,2,49.9,1-0-0-5,2-1-0-0-5
sequence_19447,0,51.0,1-0-0-5,0-1-0-0-5
sequence_20040,2,47.2,2-1-1-12,2-2-1-1-12
sequence_19526,1,49.3,2-1-1-19,1-2-1-1-19
sequence_19437,1,46.7,2-1-1-11,1-2-1-1-11
sequence_19529,2,48.8,2-1-1-17,2-2-1-1-17
sequence_19470,2,61.0,2-0-0-23,2-2-0-0-23
sequence_19472,0,59.9,0-0-0-25,0-0-0-0-25
sequence_19403,2,50.9,0-0-0-4,2-0-0-0-4
sequence_20062,2,57.9,0-0-0-10,2-0-0-0-10
sequence_19429,2,50.9,2-1-1-2,2-2-1-1-2
sequence_19524,2,46.4,2-1-1-12,2-2-1-1-12
sequence_19459,2,59.2,0-0-0-21,2-0-0-0-21
sequence_19478,2,60.1,0-0-0-10,2-0-0-0-10
sequence_19467,0,64.4,1-0-0-22,0-1-0-0-22
sequence_20057,2,51.9,0-0-0-10,2-0-0-0-10
sequence_19432,1,51.0,2-1-1-12,1-2-1-1-12
sequence_53062,0,49.1,1-2-2-1,0-1-2-2-1
sequence_19353,0,64.3,0-0-0-21,0-0-0-0-21
sequence_19422,2,46.6,0-1-1-17,2-0-1-1-17
sequence_19378,0,52.4,2-1-1-13,0-2-1-1-13
sequence_19452,1,44.2,2-1-1-8,1-2-1-1-8
sequence_19417,1,47.9,2-1-1-13,1-2-1-1-13
sequence_19497,1,54.9,2-0-0-23,1-2-0-0-23
sequence_19488,1,51.3,2-1-1-19,1-2-1-1-19
sequence_19380,0,48.1,1-0-0-4,0-1-0-0-4
sequence_20048,1,39.8,2-1-1-13,1-2-1-1-13
sequence_19402,2,43.0,2-1-1-13,2-2-1-1-13
sequence_20073,2,51.0,0-0-0-10,2-0-0-0-10
sequence_19424,0,50.9,1-0-0-5,0-1-0-0-5
sequence_20066,1,49.9,2-1-1-2,1-2-1-1-2
sequence_19446,1,39.5,2-1-1-17,1-2-1-1-17
sequence_53098,0,42.0,1-2-2-26,0-1-2-2-26
sequence_19523,1,50.8,2-1-1-12,1-2-1-1-12
sequence_53083,0,51.0,1-2-2-0,0-1-2-2-0
sequence_19389,0,44.0,2-1-1-17,0-2-1-1-17
sequence_19480,1,62.8,0-0-0-23,1-0-0-0-23
sequence_19489,1,49.1,2-1-1-11,1-2-1-1-11
sequence_20051,2,42.5,0-1-1-13,2-0-1-1-13
sequence_53088,0,48.0,1-2-2-26,0-1-2-2-26
sequence_19431,1,50.5,2-1-1-14,1-2-1-1-14
sequence_20053,2,54.7,0-0-0-10,2-0-0-0-10
sequence_19428,1,49.3,2-0-0-20,1-2-0-0-20
sequence_53079,0,47.8,1-2-2-26,0-1-2-2-26
sequence_19439,1,49.5,2-0-0-24,1-2-0-0-24
sequence_19490,2,52.9,2-1-1-17,2-2-1-1-17
sequence_19408,2,51.1,0-0-0-7,2-0-0-0-7
sequence_19416,1,49.4,2-1-1-11,1-2-1-1-11
sequence_19430,1,45.7,2-1-1-8,1-2-1-1-8
sequence_19398,2,46.2,0-1-1-17,2-0-1-1-17
sequence_19360,2,63.5,0-0-0-25,2-0-0-0-25
sequence_20054,1,49.0,2-1-1-12,1-2-1-1-12
sequence_19469,1,50.5,2-0-0-20,1-2-0-0-20
sequence_53099,0,53.0,1-2-2-0,0-1-2-2-0
