,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
51,sequence_40826,539,sequence_40803,549,0.0019096282126696,0-1-0-0-0
66,sequence_40826,539,sequence_40832,555,0.0027038838232619,0-1-0-0-0
73,sequence_40826,539,sequence_40802,560,0.0034633410920341,0-1-0-0-0
47,sequence_40826,539,sequence_40824,523,0.0014223806707205,0-1-0-0-0
49,sequence_40826,539,sequence_40797,558,0.0018353628536417,0-1-0-0-0
4,sequence_40826,539,sequence_40807,528,0.0017611656387703,0-1-0-0-0
14,sequence_40826,539,sequence_40842,522,0.0027483645591489,0-1-0-0-0
6,sequence_40826,539,sequence_40811,534,0.0025634785927457,0-1-0-0-0
64,sequence_40826,539,sequence_40823,546,0.0028029563005335,0-1-0-0-0
54,sequence_40826,539,sequence_40864,549,0.0007933340155139,0-1-0-0-0
3,sequence_40826,539,sequence_40806,525,0.0024089495293072,0-1-0-0-0
53,sequence_40826,539,sequence_40805,564,0.0014424303140558,0-1-0-0-0
44,sequence_40826,539,sequence_40839,538,0.002090300814324,0-1-0-0-0
2,sequence_40826,539,sequence_40794,519,0.0013923357195063,0-1-0-0-0
46,sequence_40826,539,sequence_40819,532,0.0012990148947868,0-1-0-0-0
67,sequence_40826,539,sequence_40833,549,0.0009700767207417,0-1-0-0-0
63,sequence_40826,539,sequence_40822,549,0.0036965391418517,0-1-0-0-0
1,sequence_40826,539,sequence_40789,510,0.0003385350892288,0-1-0-0-0
57,sequence_40826,539,sequence_40862,546,0.0024999753852474,0-1-0-0-0
7,sequence_40826,539,sequence_40813,528,0.0003830094813341,0-1-0-0-0
65,sequence_40826,539,sequence_40834,546,0.0037043613631063,0-1-0-0-0
56,sequence_40826,539,sequence_40810,549,0.0030025445093752,0-1-0-0-0
16,sequence_40826,539,sequence_40838,531,0.0015589751805434,0-1-0-0-0
59,sequence_40826,539,sequence_40836,543,0.0019104098932421,0-1-0-0-0
5,sequence_40826,539,sequence_40809,528,0.0007931693411484,0-1-0-0-0
18,sequence_40826,539,sequence_40817,528,0.0020990762157703,0-1-0-0-0
50,sequence_40826,539,sequence_40800,558,0.0009681982675409,0-1-0-0-0
10,sequence_40826,539,sequence_40855,522,0.002090300814324,0-1-0-0-0
48,sequence_40826,539,sequence_40825,532,0.0004891142662119,1-1-0-0-0
13,sequence_40826,539,sequence_40841,528,0.0010912406630771,1-1-0-0-0
20,sequence_40826,539,sequence_40827,525,0.0013739157675454,1-1-0-0-0
52,sequence_40826,539,sequence_40804,561,0.0002546033405186,1-1-0-0-0
